ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
2,"Al-Sharefi, Arif",14,HELP HLKS / LKS,5
3,"Bergmann, Fanny",7,HELP HLKS / LKS,5
4,"Eloranta, Katja",10,HELP HLKS / LKS,5
5,"Hankimaa, Suvi",3,HELP HLKS / LKS,5
6,"Huhtanen, Mia",7,HELP HLKS / LKS,5
7,"Karhinen, Nina",7,HELP HLKS / LKS,5
8,"Lilja, Petrus",5,HELP HLKS / LKS,5
9,"Liu, Ville",69,HELP HLKS / LKS,5
10,"Mukka, Milla",8,HELP HLKS / LKS,5
11,"Niskanen, Kaisa",2,HELP HLKS / LKS,5
12,"Peuraharju, Elin",5,HELP HLKS / LKS,5
14,"Rönty, Lotta",4,HELP HLKS / LKS,5
15,"Suvijärvi, Satu",2,HELP HLKS / LKS,5
16,"Tuomi, Tytti",49,HELP HLKS / LKS,5
17,"Virkkunen, Sirke",3,HELP HLKS / LKS,5
18,"Aaltio, Juho",7,HELP HLKS / LKS,5
19,"Hovinmaa, Emilia",1,HELP HLKS / LKS,5
20,"Honkasalo, Arttu",19,HELP HLKS / LKS,5
21,"Hänninen, Mikko",2,HELP HLKS / LKS,5
22,"Jokela, Arttu",2,HELP HLKS / LKS,5
23,"Juntura, Jonne",40,HELP HLKS / LKS,5
24,"Järvinen, Tommi",24,HELP HLKS / LKS,5
25,"Kaartinen, Taavi",8,HELP HLKS / LKS,5
26,"Lehtisalo, Minna",22,HELP HLKS / LKS,5
27,"Leivo, Eeva",3,HELP HLKS / LKS,5
28,"Lumikari, Tuomas",8,HELP HLKS / LKS,5
29,"Lönnberg, Ivar",3,HELP HLKS / LKS,5
30,"Mikkola, Visa",20,HELP HLKS / LKS,5
31,"Mykkänen, Anssi",59,HELP HLKS / LKS,5
32,"Mäkelä, Sara",25,HELP HLKS / LKS,5
33,"Naskali, Emmi",7,HELP HLKS / LKS,5
34,"Rissanen, Anni",15,HELP HLKS / LKS,5
35,"Saares, Marjo",1,HELP HLKS / LKS,5
36,"Suur-Uski, Johanna",15,HELP HLKS / LKS,5
37,"Tamminen, Tero",7,HELP HLKS / LKS,5
38,"Ylä-Soininmäki, Tomi",5,HELP HLKS / LKS,5
39,"Aho, Varpu",4,HELP EKY / YFK,16
40,"Aminoff, Nea",35,HELP EKY / YFK,16
41,"Ekman, Pilvi",1,HELP EKY / YFK,16
42,"Hakala, Riikka",13,HELP EKY / YFK,16
43,"Heljanko, Viivi",82,HELP EKY / YFK,16
44,"Hirvonen, Helena",1,HELP EKY / YFK,16
46,"Hämäläinen, Crista",19,HELP EKY / YFK,16
47,"Isokotamäki, Lotta",1,HELP EKY / YFK,16
49,"Kangas, Eetu",6,HELP EKY / YFK,16
50,"Kesti, Ilmari",1,HELP EKY / YFK,16
51,"Koivunen, Liisa",16,HELP EKY / YFK,16
